property_id,deal_type,exit_strategy_hint,property_type,address,city,state,zip,county,beds,baths,sqft,year_built,condition,occupancy,purchase_price,arv,est_repairs,entry_fee,interest_rate,term_months,estimated_monthly_payment,mao_70_rule,days_on_market,latitude,longitude,source
16,Hybrid,Fix & Flip,Land,2065 River Blvd,Sacramento,CA,35782,Sacramento,3,2.0,1748,1973,Heavy Rehab,Vacant,291281.0,418305.0,19428.0,15889.0,6.11,180,2728.53,273386.0,6,42.690113,-114.868463,synthetic
17,Land Deal,LTR,Multi-Family,2886 Pine St,Memphis,TN,66875,Shelby,4,2.0,2151,1960,Light Rehab,Tenant-Occupied,267201.0,429445.0,8216.0,13418.0,5.01,240,1952.45,292396.0,12,47.142476,-102.196865,synthetic
18,Hybrid,LTR,Land,1784 Park Dr,San Antonio,TX,95964,Bexar,2,3.0,1800,2009,Medium Rehab,Vacant,306965.0,537045.0,103709.0,26904.0,4.13,180,2542.19,272222.0,22,40.754807,-115.624972,synthetic
19,DSCR Carryback,LTR,Single Family,5897 Lake Way,Memphis,TN,37661,Shelby,2,2.0,2807,1952,Medium Rehab,Tenant-Occupied,293163.0,327183.0,32408.0,17443.0,7.33,180,2987.78,196620.0,5,39.305179,-118.761423,synthetic
20,Seller Finance,Fix & Flip,Single Family,2420 Union Ave,Charleston,SC,27139,Charleston,4,2.5,1963,1982,Turnkey,Tenant-Occupied,240756.0,410392.0,73565.0,20618.0,7.15,240,2071.21,213710.0,4,43.850097,-115.696272,synthetic
21,Cash,STR,Townhouse,1702 Park Rd,Fairview,NV,99434,County,4,2.5,2525,2011,Light Rehab,Vacant,301856.0,413708.0,18249.0,301856.0,0.0,0,0.0,271347.0,33,35.110089,-73.136765,synthetic
22,Cash,LTR,Condo,8420 Atlanta Way,Springfield,NV,68097,County,3,4.0,2509,1955,Medium Rehab,Tenant-Occupied,548657.0,741508.0,158245.0,548657.0,0.0,0,0.0,360811.0,11,46.488803,-120.736547,synthetic
23,Seller Finance,LTR,Single Family,1299 Cedar Ln,Fairview,IL,83336,County,5,2.0,1740,1999,Light Rehab,Owner-Occupied,152063.0,186871.0,16077.0,20509.0,6.18,360,1016.35,114733.0,8,46.036772,-105.344262,synthetic
24,Land Deal,LTR,Manufactured,2768 Atlanta Dr,Riverton,PA,94339,County,4,1.5,3015,1991,Heavy Rehab,Vacant,307409.0,538524.0,63449.0,19609.0,4.64,360,1819.03,313518.0,41,28.959441,-79.661976,synthetic
25,Wrap,Fix & Flip,Single Family,6398 Sikes Way,Greenville,VA,62928,County,3,1.5,1913,1985,Medium Rehab,Vacant,419593.0,621271.0,87775.0,15715.0,8.09,180,4254.83,347114.0,2,30.154908,-80.504892,synthetic
26,Lease Purchase,Fix & Flip,Single Family,4531 Pine Ct,Greenville,OK,18426,County,2,3.5,1566,1983,Light Rehab,Tenant-Occupied,145135.0,161311.0,16722.0,18987.0,5.85,240,1087.06,96196.0,40,44.754691,-89.264961,synthetic
27,Seller Finance,LTR,Single Family,7069 Magnolia Ln,Madison,IL,43896,County,3,2.5,2695,1977,Light Rehab,Tenant-Occupied,723163.0,845640.0,193319.0,12285.0,6.34,240,6028.31,398629.0,32,30.708083,-86.118327,synthetic
28,Cash,Wholesale,Multi-Family,9162 Hill Ln,Madison,MO,21608,County,5,1.0,1013,2013,Light Rehab,Vacant,102988.0,143674.0,14198.0,102988.0,0.0,0,0.0,86374.0,1,30.087764,-70.695043,synthetic
29,Subto,Fix & Flip,Land,4851 Lake Way,Springfield,OK,79063,County,4,3.5,2696,1977,Heavy Rehab,Owner-Occupied,349524.0,620095.0,85984.0,10614.0,6.59,240,2944.14,348083.0,19,42.777642,-117.734105,synthetic
30,Cash,MTR,Single Family,4126 Lake Ave,Fairview,MS,55482,County,5,4.0,2882,1988,Heavy Rehab,Owner-Occupied,393162.0,485849.0,27382.0,393162.0,0.0,0,0.0,312713.0,0,37.301128,-78.809553,synthetic
31,Land Deal,LTR,Manufactured,2390 River Cir,Madison,LA,66646,County,4,2.5,2157,1991,Light Rehab,Vacant,407607.0,643681.0,126471.0,14698.0,7.67,240,3598.25,324105.0,21,48.156312,-109.399766,synthetic
32,Cash,Fix & Flip,Single Family,4720 Atlanta Ln,Riverton,OR,11868,County,2,3.0,2245,1972,Heavy Rehab,Tenant-Occupied,364666.0,528650.0,58254.0,364666.0,0.0,0,0.0,311801.0,7,36.04731,-108.351093,synthetic
33,Subto,N/A,Single Family,3670 Sunset Dr,Mesa,AZ,30648,Maricopa,3,1.0,2175,1981,Light Rehab,Vacant,285345.0,403358.0,70366.0,24007.0,7.59,300,2254.57,211985.0,7,42.096284,-76.107508,synthetic
34,Seller Finance,Fix & Flip,Single Family,9715 Mason Ct,Chandler,AZ,20995,Maricopa,3,2.0,2166,1985,Light Rehab,Vacant,454088.0,650238.0,134282.0,33594.0,4.79,360,2988.12,320884.0,14,30.799588,-99.07979,synthetic
35,DSCR Carryback,Co-Living,Single Family,5444 Union Dr,Tempe,AZ,92532,Maricopa,3,2.5,1195,1979,Medium Rehab,Tenant-Occupied,227163.0,254263.0,59559.0,12881.0,6.61,360,1630.65,118425.0,54,48.803409,-107.969793,synthetic
36,Seller Finance,MTR,Townhouse,9670 Atlanta Ave,Augusta,GA,94308,Richmond,2,3.0,2109,1983,Medium Rehab,Owner-Occupied,387957.0,497478.0,42179.0,9072.0,6.35,180,3937.78,306056.0,44,47.650576,-71.426643,synthetic
37,Hybrid,STR,Multi-Family,4422 Garden Rd,Mesa,AZ,93508,Maricopa,3,1.0,2081,1993,Medium Rehab,Owner-Occupied,286358.0,403029.0,78298.0,15382.0,6.61,360,2062.24,203823.0,31,28.300905,-109.825134,synthetic
38,DSCR Carryback,MTR,Single Family,3463 Atlanta Rd,Madison,OH,75925,County,5,1.0,2491,1957,Heavy Rehab,Tenant-Occupied,386435.0,615075.0,91212.0,12103.0,6.83,240,3500.64,339341.0,1,29.965715,-100.473293,synthetic
39,Hybrid,Co-Living,Townhouse,5088 Pine St,Franklin,AL,20058,County,3,3.0,1629,2019,Turnkey,Vacant,167287.0,249447.0,63901.0,16992.0,5.61,300,1182.96,110712.0,13,37.630293,-103.06073,synthetic
40,Seller Finance,Wholesale,Single Family,9097 Cedar Ln,Nashville,TN,45228,Davidson,6,1.0,2478,1992,Light Rehab,Owner-Occupied,596009.0,709792.0,46237.0,14722.0,6.01,180,5605.3,450617.0,1,34.486649,-119.771303,synthetic
41,Land Deal,N/A,Single Family,1323 Magnolia Dr,Franklin,OR,12294,County,3,1.0,2497,1971,Light Rehab,Tenant-Occupied,539298.0,678797.0,98809.0,14027.0,6.23,240,4402.85,376349.0,8,36.197063,-108.484033,synthetic
42,Rent To Own,Wholesale,Single Family,6557 Garden Dr,Fairview,MD,57127,County,2,3.0,2205,2020,Light Rehab,Tenant-Occupied,392728.0,469078.0,35780.0,18187.0,6.29,360,3019.37,292575.0,2,36.880866,-88.081719,synthetic
43,Subto,LTR,Single Family,6626 Oak Blvd,Chandler,AZ,99337,Maricopa,3,2.0,2286,1983,Heavy Rehab,Vacant,394270.0,549472.0,74249.0,13640.0,3.16,300,2339.61,310381.0,7,47.948304,-71.731834,synthetic
44,Lease Purchase,Fix & Flip,Single Family,4698 Oak St,Madison,VA,47988,County,3,1.0,2101,2000,Heavy Rehab,Tenant-Occupied,431543.0,633222.0,47812.0,15478.0,6.31,180,4065.51,395444.0,0,48.548304,-68.751263,synthetic
45,Seller Finance,Fix & Flip,Single Family,6655 Cedar Ave,Fairview,MI,93225,County,5,2.0,3615,2000,Light Rehab,Tenant-Occupied,808229.0,924442.0,138411.0,34757.0,4.85,180,6885.68,508699.0,4,25.726067,-103.000746,synthetic
46,Subto,Fix & Flip,Condo,6898 Sikes Ln,Peoria,AZ,63855,Maricopa,3,3.0,1451,1966,Heavy Rehab,Vacant,403367.0,506821.0,81634.0,20552.0,6.92,360,2880.02,273140.0,3,46.822485,-72.29887,synthetic
47,Seller Finance,Fix & Flip,Single Family,9118 Atlanta Rd,Jonesboro,GA,63242,Clayton,4,2.0,2241,1971,Turnkey,Vacant,387009.0,445450.0,77588.0,10311.0,5.79,360,2623.35,234227.0,5,34.117418,-118.107969,synthetic
48,Subto,Fix & Flip,Single Family,430 Hill Ct,Franklin,IN,66023,County,2,1.5,727,1960,Light Rehab,Vacant,76631.0,105831.0,7847.0,26049.0,5.2,240,410.12,66235.0,27,31.703565,-69.526431,synthetic
49,Subto,N/A,Single Family,1618 Carr Blvd,Charleston,SC,37525,Charleston,3,2.0,1677,1978,Turnkey,Owner-Occupied,370081.0,458733.0,134288.0,17209.0,6.42,240,3023.76,186825.0,5,45.912542,-84.145927,synthetic
50,Land Deal,Fix & Flip,Multi-Family,9721 Union St,Charleston,SC,68439,Charleston,3,2.0,1806,1981,Light Rehab,Tenant-Occupied,253692.0,410512.0,31224.0,21961.0,7.35,360,2043.24,256135.0,2,26.215445,-120.155198,synthetic
51,Seller Finance,Co-Living,Single Family,1493 Mason St,Sacramento,CA,68844,Sacramento,3,1.0,2808,1978,Heavy Rehab,Tenant-Occupied,395121.0,551079.0,77334.0,22868.0,6.07,360,2629.16,308422.0,7,32.011969,-79.982485,synthetic
52,Cash,LTR,Single Family,1938 Oak Ave,Riverton,PA,84630,County,5,2.5,2444,1972,Medium Rehab,Owner-Occupied,481555.0,580715.0,91407.0,481555.0,0.0,0,0.0,315094.0,43,25.004438,-77.969644,synthetic
53,Cash,LTR,Condo,4071 Union Way,Augusta,GA,35126,Richmond,3,2.0,2223,1979,Light Rehab,Tenant-Occupied,485247.0,549416.0,53005.0,485247.0,0.0,0,0.0,331586.0,19,31.11809,-76.579192,synthetic
54,Cash,MTR,Single Family,4315 Atlanta Ct,Orlando,FL,13837,Orange,6,3.0,2895,1965,Medium Rehab,Vacant,668690.0,842148.0,145121.0,668690.0,0.0,0,0.0,444383.0,23,46.008045,-100.449531,synthetic
55,Wrap,Fix & Flip,Single Family,3463 Union Blvd,Riverton,MO,74611,County,2,2.0,1776,1970,Medium Rehab,Tenant-Occupied,201564.0,354178.0,29975.0,13185.0,6.19,180,1781.44,217950.0,31,39.861651,-108.899696,synthetic
56,Cash,STR,Manufactured,8048 Hill St,Raleigh,NC,40252,Wake,3,2.0,1626,2010,Medium Rehab,Tenant-Occupied,142310.0,158591.0,20390.0,142310.0,0.0,0,0.0,90623.0,15,29.368482,-78.38901,synthetic
57,Seller Finance,Wholesale,Single Family,1955 Magnolia Dr,Riverton,WA,61571,County,2,1.0,1899,1968,Light Rehab,Vacant,370527.0,582116.0,28571.0,16667.0,6.81,300,2815.33,378910.0,14,44.667339,-73.886454,synthetic
58,Wrap,LTR,Single Family,1886 Garden Ave,Raleigh,NC,95520,Wake,5,3.0,2733,1977,Light Rehab,Vacant,381503.0,557593.0,0.0,11270.0,4.61,240,2958.68,390315.0,6,33.242184,-101.75605,synthetic
59,Subto,LTR,Land,1538 Mason Rd,Jonesboro,GA,65074,Clayton,5,1.5,2771,1962,Heavy Rehab,Tenant-Occupied,493339.0,566631.0,91535.0,12230.0,6.77,360,3640.87,305106.0,0,40.117193,-101.489964,synthetic
60,Cash,LTR,Manufactured,767 River St,Miami,FL,68503,Miami-Dade,3,2.0,2832,2000,Heavy Rehab,Tenant-Occupied,780198.0,981690.0,192605.0,780198.0,0.0,0,0.0,494577.0,43,31.831716,-104.693206,synthetic
61,Subto,LTR,Condo,4616 Magnum St,Memphis,TN,43687,Shelby,3,1.0,2259,1958,Heavy Rehab,Vacant,439380.0,526281.0,70325.0,10310.0,5.61,300,3183.99,298072.0,17,26.371435,-67.587315,synthetic
62,Cash,Wholesale,Multi-Family,4214 Hill Rd,Greenville,VA,93097,County,5,1.0,2506,1943,Light Rehab,Tenant-Occupied,481474.0,804988.0,131747.0,481474.0,0.0,0,0.0,431745.0,6,47.4916,-110.323814,synthetic
63,Wrap,Fix & Flip,Single Family,6029 Magnolia Way,San Antonio,TX,33978,Bexar,1,3.5,1598,1989,Light Rehab,Tenant-Occupied,312325.0,400243.0,24599.0,11802.0,4.71,360,1981.64,255571.0,9,48.993592,-105.621208,synthetic
64,Hybrid,Fix & Flip,Single Family,4440 Magnolia Blvd,Orlando,FL,42415,Orange,3,2.5,2311,1971,Light Rehab,Vacant,402808.0,550766.0,103930.0,18246.0,7.89,180,4294.09,281606.0,21,44.372812,-73.500183,synthetic
65,Rent To Own,LTR,Single Family,4916 Magnum Ln,Sacramento,CA,68584,Sacramento,3,1.5,2614,1973,Medium Rehab,Tenant-Occupied,482348.0,752727.0,113031.0,17733.0,5.22,180,4421.41,413879.0,0,34.390145,-91.443809,synthetic
66,Subto,Fix & Flip,Single Family,1162 River Ln,Fairview,NV,43299,County,4,2.0,2069,1963,Heavy Rehab,Owner-Occupied,180307.0,239895.0,42728.0,17186.0,6.61,300,1321.52,125198.0,15,42.248749,-74.228262,synthetic
67,Land Deal,Fix & Flip,Condo,6226 Mason Ln,Greenville,OR,78984,County,3,3.0,2661,1984,Light Rehab,Tenant-Occupied,296636.0,473301.0,129354.0,21211.0,4.89,360,1959.47,201957.0,2,37.178303,-99.214055,synthetic
68,Cash,MTR,Single Family,204 Oak Cir,Tampa,FL,34847,Hillsborough,4,3.0,2263,1956,Turnkey,Owner-Occupied,512444.0,652608.0,78264.0,512444.0,0.0,0,0.0,378561.0,18,42.826152,-97.881272,synthetic
69,Hybrid,Co-Living,Single Family,6801 Sunset Dr,Lakeland,FL,54566,Polk,2,2.0,2072,2009,Light Rehab,Vacant,476171.0,686567.0,87212.0,10613.0,6.75,300,3636.27,393385.0,0,39.842884,-70.80411,synthetic
70,Seller Finance,Wholesale,Single Family,2782 River Ln,Springfield,OK,36661,County,2,2.0,2248,1983,Medium Rehab,Vacant,203415.0,355103.0,15287.0,19048.0,6.96,180,2001.43,233285.0,0,44.619627,-80.425507,synthetic
71,Hybrid,LTR,Single Family,3331 River Ct,Mauldin,SC,97531,Greenville,3,3.5,1841,1993,Light Rehab,Tenant-Occupied,167599.0,207459.0,26561.0,9288.0,7.73,300,1385.38,118661.0,33,29.76058,-85.668944,synthetic
72,Seller Finance,Wholesale,Multi-Family,947 Pine Ct,Tampa,FL,66906,Hillsborough,5,2.0,3194,1972,Light Rehab,Vacant,777830.0,1113201.0,224755.0,9069.0,6.27,180,7449.96,554486.0,5,25.080977,-91.390412,synthetic
73,Cash,Fix & Flip,Single Family,3334 Magnum Dr,Riverside,CA,76120,Riverside,3,2.0,1970,1997,Light Rehab,Tenant-Occupied,467552.0,522777.0,95973.0,467552.0,0.0,0,0.0,269970.0,31,36.870702,-87.784243,synthetic
74,Cash,Wholesale,Condo,3739 River Blvd,Springfield,MI,73273,County,3,2.5,2111,1985,Medium Rehab,Tenant-Occupied,377701.0,598927.0,52511.0,377701.0,0.0,0,0.0,366738.0,0,25.705629,-114.862003,synthetic
75,Seller Finance,Fix & Flip,Single Family,774 Mason Cir,Riverton,MI,84111,County,3,2.0,2497,1971,Light Rehab,Tenant-Occupied,398015.0,539721.0,47747.0,9927.0,4.74,240,3043.53,330058.0,10,40.458087,-69.274649,synthetic
76,Subto,LTR,Condo,3029 Garden St,Sacramento,CA,82096,Sacramento,5,3.0,2855,1969,Light Rehab,Vacant,521991.0,870472.0,126323.0,8760.0,6.37,360,3761.61,483007.0,11,27.823318,-94.470566,synthetic
77,Seller Finance,Fix & Flip,Townhouse,5975 Hill Cir,Franklin,OK,70984,County,3,3.0,2198,1995,Light Rehab,Vacant,217470.0,330117.0,78207.0,20905.0,6.42,240,1729.12,152875.0,2,47.829895,-97.508391,synthetic
78,Cash,Wholesale,Condo,990 Park Ct,Sacramento,CA,76105,Sacramento,4,1.0,2370,2009,Medium Rehab,Owner-Occupied,279256.0,464456.0,42985.0,279256.0,0.0,0,0.0,282134.0,5,41.140741,-118.261925,synthetic
79,Lease Purchase,Fix & Flip,Townhouse,3723 Magnolia Cir,Riverton,LA,13389,County,5,4.0,1902,1978,Heavy Rehab,Owner-Occupied,267280.0,446660.0,93910.0,10048.0,4.36,240,1981.97,218752.0,28,35.526433,-77.102085,synthetic
80,Seller Finance,LTR,Manufactured,8391 Atlanta Cir,Fairview,OK,30809,County,3,2.5,2431,1955,Heavy Rehab,Owner-Occupied,327535.0,432413.0,67779.0,15840.0,7.65,300,2830.72,234910.0,4,34.537272,-79.649772,synthetic
81,Subto,LTR,Single Family,5995 Lake Way,Greenville,SC,33867,Greenville,3,2.5,1498,1979,Medium Rehab,Vacant,348838.0,493283.0,99247.0,15372.0,3.65,180,2793.16,246051.0,28,34.811962,-114.826411,synthetic
82,Wrap,LTR,Multi-Family,6003 Sikes Ave,Madison,CO,23711,County,3,2.5,1620,1931,Light Rehab,Vacant,286635.0,452136.0,83178.0,11953.0,5.17,240,2078.68,233318.0,21,42.820027,-110.390717,synthetic
83,Subto,STR,Multi-Family,130 Mason Blvd,Memphis,TN,90658,Shelby,4,1.0,2525,1958,Heavy Rehab,Owner-Occupied,541442.0,847468.0,0.0,8161.0,6.35,300,4384.04,593228.0,19,37.754069,-112.534487,synthetic
84,Cash,LTR,Manufactured,143 Sunset Ln,Austin,TX,92001,Travis,3,2.5,1902,1996,Medium Rehab,Vacant,440259.0,603724.0,80357.0,440259.0,0.0,0,0.0,342249.0,19,28.416914,-100.447978,synthetic
85,Subto,STR,Single Family,2547 Lake Ave,Riverside,CA,80007,Riverside,3,2.5,1728,2017,Light Rehab,Vacant,165429.0,253282.0,45745.0,12351.0,7.88,240,1534.29,131552.0,35,42.332732,-112.371194,synthetic
86,Cash,Co-Living,Single Family,9578 Lake Way,San Diego,CA,97224,San Diego,4,2.0,2160,2020,Medium Rehab,Vacant,289695.0,431837.0,58880.0,289695.0,0.0,0,0.0,243406.0,40,48.937202,-118.199911,synthetic
87,Seller Finance,LTR,Single Family,9127 Cedar Dr,Riverton,MD,31639,County,5,1.0,2733,2017,Turnkey,Tenant-Occupied,203648.0,265931.0,41546.0,10803.0,4.42,180,1827.95,144605.0,17,25.39477,-119.224205,synthetic
88,Hybrid,MTR,Single Family,8922 Garden Ct,Charleston,SC,89702,Charleston,4,2.5,2806,1933,Turnkey,Owner-Occupied,586589.0,903292.0,110621.0,17676.0,4.86,360,3770.31,521683.0,55,31.381525,-78.922597,synthetic
89,Land Deal,LTR,Single Family,961 Carr Way,Madison,MI,70983,County,2,2.5,1486,1985,Medium Rehab,Vacant,369843.0,429722.0,47800.0,15292.0,4.0,300,2518.73,253005.0,0,39.296989,-91.238562,synthetic
90,Rent To Own,Fix & Flip,Manufactured,3423 Maple Cir,Madison,MS,78582,County,6,2.0,3190,1997,Medium Rehab,Vacant,633331.0,1054610.0,113811.0,8981.0,7.03,240,5460.53,624416.0,2,29.128525,-80.12724,synthetic
91,Rent To Own,N/A,Multi-Family,8794 Garden St,Jacksonville,FL,53064,Duval,4,2.0,2979,1998,Heavy Rehab,Owner-Occupied,637086.0,908065.0,102278.0,7226.0,4.9,360,4202.02,533367.0,73,32.251028,-95.516992,synthetic
92,Hybrid,Fix & Flip,Single Family,1934 Oak Dr,Knoxville,TN,40648,Knox,4,2.0,2237,1979,Heavy Rehab,Vacant,319365.0,427471.0,102602.0,17695.0,4.33,180,2562.88,196628.0,6,41.642954,-80.702421,synthetic
93,Cash,Fix & Flip,Condo,6055 Cedar Way,Raleigh,NC,13766,Wake,2,1.5,1283,1985,Turnkey,Tenant-Occupied,241921.0,388508.0,37626.0,241921.0,0.0,0,0.0,234330.0,49,43.560899,-95.429334,synthetic
94,Cash,Wholesale,Single Family,4809 Union Ave,Springfield,IN,60311,County,2,2.0,2175,2025,Heavy Rehab,Owner-Occupied,395105.0,530158.0,10813.0,395105.0,0.0,0,0.0,360297.0,21,27.104345,-100.22133,synthetic
95,Cash,LTR,Single Family,6130 Sikes Way,Jarrell,TX,94714,Williamson,3,2.0,2008,2019,Light Rehab,Tenant-Occupied,515207.0,699159.0,130709.0,515207.0,0.0,0,0.0,358703.0,9,38.108457,-87.441672,synthetic
96,Seller Finance,Fix & Flip,Single Family,1590 Magnum Dr,Nashville,TN,91038,Davidson,4,3.0,2244,1976,Light Rehab,Vacant,531422.0,707801.0,41305.0,17284.0,4.27,240,4137.03,454156.0,52,38.09448,-104.256982,synthetic
97,Subto,Fix & Flip,Single Family,9809 Sunset Way,Knoxville,TN,36481,Knox,3,3.0,2171,1970,Medium Rehab,Tenant-Occupied,297224.0,538165.0,63171.0,11455.0,5.31,360,1863.98,313545.0,2,43.562125,-101.041381,synthetic
98,Cash,Wholesale,Single Family,9296 Oak Cir,Loganville,GA,47189,Walton,5,3.5,2181,1992,Medium Rehab,Owner-Occupied,423536.0,626645.0,51826.0,423536.0,0.0,0,0.0,386826.0,0,40.604032,-81.022575,synthetic
99,Hybrid,LTR,Single Family,6315 Atlanta Rd,Four Oaks,NC,61720,Johnston,5,3.0,2749,1998,Light Rehab,Vacant,441370.0,658683.0,74749.0,16079.0,7.55,240,3918.81,386329.0,25,30.178975,-121.030147,synthetic
100,Cash,Wholesale,Single Family,2878 Lake Rd,Austin,TX,89344,Travis,4,2.0,2087,1951,Medium Rehab,Tenant-Occupied,483572.0,649438.0,40046.0,483572.0,0.0,0,0.0,414561.0,11,48.425787,-75.885059,synthetic
101,Wrap,MTR,Condo,2656 Atlanta Cir,Fairview,MS,85912,County,3,2.0,2014,1973,Light Rehab,Tenant-Occupied,238303.0,414416.0,61363.0,19418.0,6.9,240,1944.77,228729.0,4,39.915857,-85.663544,synthetic
102,Land Deal,N/A,Single Family,6396 Pine Dr,Fairview,UT,31092,County,3,3.5,2580,1981,Turnkey,Owner-Occupied,297040.0,532132.0,62749.0,19553.0,4.52,240,2031.66,309743.0,30,25.523516,-116.643714,synthetic
103,Cash,LTR,Condo,6638 Hill Blvd,Madison,OH,48981,County,3,1.5,2526,2025,Light Rehab,Vacant,402845.0,483809.0,42971.0,402845.0,0.0,0,0.0,295696.0,12,27.559678,-84.722538,synthetic
104,Seller Finance,Wholesale,Condo,3845 Atlanta Dr,Madison,AL,48825,County,3,1.5,1886,2004,Heavy Rehab,Vacant,420571.0,554970.0,110248.0,13936.0,4.48,360,2502.66,278231.0,1,46.64633,-107.527646,synthetic
105,Seller Finance,Wholesale,Single Family,7040 Union Rd,Franklin,LA,66692,County,3,2.5,2235,2016,Medium Rehab,Owner-Occupied,185329.0,236958.0,51526.0,21360.0,7.28,300,1466.02,114345.0,8,47.985084,-96.480727,synthetic
106,Hybrid,Wholesale,Single Family,725 Carr Way,Chandler,AZ,77928,Maricopa,4,3.5,2721,1974,Light Rehab,Owner-Occupied,678693.0,818344.0,113369.0,8115.0,5.94,180,6570.95,459472.0,16,42.509555,-109.123887,synthetic
107,Subto,MTR,Single Family,8648 Sikes Ct,Orlando,FL,78055,Orange,3,3.0,2421,1998,Turnkey,Tenant-Occupied,654870.0,803912.0,151348.0,18221.0,8.31,300,6129.21,411390.0,28,43.593614,-116.611832,synthetic
108,Rent To Own,Wholesale,Single Family,4596 River Ct,Franklin,MD,37536,County,6,1.5,2294,1994,Medium Rehab,Owner-Occupied,392474.0,649641.0,87586.0,13801.0,7.65,300,3486.7,367162.0,13,27.434718,-111.49701,synthetic
109,Hybrid,Fix & Flip,Condo,6522 Lake Blvd,Los Angeles,CA,64864,Los Angeles,5,2.5,2670,1977,Light Rehab,Vacant,642345.0,910920.0,217118.0,17272.0,4.52,240,4815.45,420526.0,8,39.548971,-119.924028,synthetic
110,Hybrid,LTR,Single Family,7770 Magnum Way,Jarrell,TX,19030,Williamson,5,2.5,3313,2006,Heavy Rehab,Vacant,634007.0,863643.0,98918.0,8965.0,5.83,360,4809.11,505632.0,51,44.685524,-120.365578,synthetic
